work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2022,data engineer,analysis,gbp,187242,81224,uk,mi,ft,in-person,in,m
2022,data engineer,engineering,jpy,101908,61852,us,ex,ct,in-person,in,s
2020,data analyst,engineering,eur,154506,40932,de,en,fl,in-person,us,s
2022,machine learning engineer,ml/ai,inr,52369,118545,de,ex,fl,remote,mx,m
2020,data engineer,ml/ai,jpy,35900,63583,jp,se,fl,in-person,uk,m
2022,data engineer  in office,analysis,inr,70733,59865,us,en,ct,hybrid,uk,s
2022,data scientist  (remote),engineering,eur,117236,173361,cn,en,ft,hybrid,in,s
2020,data scientist  in office,unknown,unknown,161661,100270,us,unknown,ft,in-person,in,unknown
2020,machine learning engineer  in office,data science,inr,90044,115549,us,en,ft,hybrid,in,s
2022,machine learning engineer,data science,eur,115553,196593,us,en,fl,hybrid,cn,s
2021,statistician,data science,inr,118435,167577,in,ex,pt,in-person,cn,l
2020,data scientist,analysis,jpy,79008,160768,jp,mi,fl,in-person,us,l
2021,statistician,ml/ai,eur,96794,74327,mx,se,ft,in-person,us,l
2021,data analyst  (remote),analysis,jpy,109134,143209,uk,mi,ct,remote,de,s
2021,statistician  (remote),engineering,us dolars,163938,144889,uk,se,pt,in-person,cn,m
2020,data engineer  in office,ml/ai,eur,82890,48409,uk,ex,pt,in-person,uk,m
2021,statistician  (remote),data science,inr,145259,180589,in,en,fl,remote,us,s
2020,machine learning engineer  in office,analysis,us dolars,59404,74533,jp,en,ct,hybrid,jp,l
2021,data analyst,analysis,jpy,95223,191547,cn,mi,pt,remote,uk,m
2022,data engineer  in office,data science,jpy,30637,45327,jp,mi,ft,hybrid,de,s
2022,statistician  in office,analysis,inr,133186,85344,in,mi,fl,remote,in,l
2020,data analyst  (remote),data science,us dolars,45828,33671,cn,en,fl,in-person,de,l
2022,data analyst  in office,engineering,gbp,131976,121908,us,en,ft,remote,uk,l
2022,data engineer,ml/ai,inr,75097,80756,de,ex,ft,in-person,in,l
2021,statistician,engineering,jpy,143271,189152,us,se,ft,hybrid,de,l
2020,data analyst,engineering,eur,62022,54544,uk,mi,pt,in-person,de,l
2021,data analyst,data science,us dolars,62202,106347,us,en,ct,remote,uk,l
2021,data scientist  (remote),analysis,gbp,58704,48733,in,se,pt,remote,us,l
2021,data analyst  in office,engineering,eur,121411,78093,uk,mi,ct,hybrid,jp,l
2021,statistician  in office,engineering,inr,53641,125595,cn,se,ct,hybrid,jp,s
2021,statistician  in office,analysis,inr,67479,67487,cn,se,ft,in-person,cn,m
2021,statistician,analysis,us dolars,52027,150931,uk,se,pt,in-person,cn,s
2020,machine learning engineer  (remote),unknown,unknown,72912,70849,mx,unknown,ft,hybrid,uk,unknown
2022,statistician  in office,engineering,us dolars,138227,175622,mx,ex,fl,hybrid,mx,s
2021,data analyst  in office,ml/ai,eur,158773,106400,us,mi,pt,in-person,uk,m
2021,data engineer  (remote),analysis,eur,139658,159120,mx,mi,pt,hybrid,mx,m
2021,data scientist  in office,data science,inr,72692,120930,jp,se,ft,in-person,mx,m
2021,machine learning engineer  (remote),engineering,us dolars,128884,79699,jp,en,pt,hybrid,mx,s
2021,statistician  in office,ml/ai,inr,62209,120470,cn,se,ft,hybrid,us,m
2021,statistician  (remote),analysis,gbp,86738,174779,jp,en,ct,hybrid,mx,l
2022,data engineer  in office,ml/ai,eur,67242,162996,uk,ex,fl,remote,in,m
2022,data engineer,analysis,jpy,171013,125023,jp,mi,ft,hybrid,jp,s
2022,data scientist,unknown,unknown,137966,51031,cn,unknown,pt,in-person,in,unknown
2020,statistician  (remote),engineering,us dolars,198899,134985,de,ex,fl,in-person,cn,m
2021,machine learning engineer,engineering,jpy,198168,98237,jp,ex,fl,hybrid,cn,s
2020,data analyst  in office,analysis,us dolars,96457,138426,in,mi,fl,remote,jp,m
2021,machine learning engineer,ml/ai,gbp,98309,39718,uk,se,ct,remote,mx,l
2022,statistician  in office,data science,gbp,116496,30056,cn,en,ct,remote,in,s
2020,machine learning engineer  (remote),analysis,inr,191340,176424,uk,mi,ct,in-person,in,m
2021,statistician,ml/ai,eur,140078,151743,de,ex,ft,remote,us,l
2020,data engineer  in office,analysis,us dolars,31865,77820,de,ex,ft,remote,de,l
2020,machine learning engineer,unknown,unknown,126242,98683,us,unknown,pt,in-person,de,unknown
2020,statistician  (remote),analysis,inr,58887,99073,de,ex,ct,hybrid,de,l
2020,machine learning engineer  (remote),engineering,inr,126047,30721,cn,en,fl,hybrid,mx,s
2022,machine learning engineer  (remote),unknown,unknown,194551,70194,mx,unknown,ct,remote,cn,unknown
2020,statistician,analysis,us dolars,158863,109882,mx,ex,ft,hybrid,cn,l
2020,statistician  in office,data science,eur,70478,171983,cn,mi,pt,in-person,in,s
2020,data scientist  (remote),data science,inr,187473,181944,uk,en,ct,in-person,us,s
2022,machine learning engineer  in office,engineering,eur,189574,103072,in,en,ft,in-person,uk,m
2020,data analyst  (remote),data science,us dolars,141750,153919,us,se,ft,remote,us,l
2020,machine learning engineer,analysis,jpy,43394,115968,mx,en,fl,in-person,cn,m
2022,statistician  (remote),analysis,us dolars,34487,74537,de,mi,fl,remote,in,s
2022,machine learning engineer  in office,engineering,inr,188413,139254,in,ex,ct,in-person,us,l
2020,machine learning engineer  in office,engineering,jpy,138924,177932,uk,en,pt,in-person,in,s
2022,data analyst  (remote),engineering,inr,174642,191815,jp,se,ct,remote,jp,l
2022,statistician,data science,jpy,87268,102941,us,en,fl,in-person,jp,s
2022,data engineer  in office,ml/ai,jpy,101602,47645,in,se,ft,remote,cn,m
2020,data scientist,analysis,inr,187795,142661,uk,se,ct,remote,mx,l
2021,data analyst  in office,unknown,unknown,108206,101473,uk,unknown,ct,in-person,jp,unknown
2022,machine learning engineer  (remote),analysis,inr,123375,80734,us,mi,pt,in-person,uk,s
2021,data engineer,engineering,eur,123937,191503,us,se,ft,remote,de,l
2020,machine learning engineer  (remote),ml/ai,eur,86921,157705,de,ex,fl,remote,in,l
2022,machine learning engineer,analysis,us dolars,90760,90914,de,mi,ct,remote,mx,l
2020,statistician  (remote),data science,eur,171321,47882,cn,ex,ft,in-person,de,l
2021,statistician  (remote),data science,gbp,97847,120860,cn,ex,pt,remote,de,m
2020,statistician  (remote),analysis,eur,127547,174051,us,mi,ft,hybrid,uk,s
2022,data engineer  in office,engineering,inr,73839,130513,us,en,ct,hybrid,in,l
2022,machine learning engineer  in office,ml/ai,eur,69673,148751,in,ex,ct,in-person,uk,s
2021,data scientist  (remote),analysis,inr,33642,74828,de,mi,pt,remote,us,m
2020,data analyst  (remote),data science,inr,167410,168300,uk,ex,pt,remote,de,m
2022,statistician,ml/ai,gbp,81761,150354,mx,se,pt,hybrid,in,l
2021,statistician  in office,data science,eur,39622,104217,mx,ex,fl,remote,de,s
2022,machine learning engineer  (remote),data science,eur,78423,136500,mx,ex,ft,in-person,us,s
2022,machine learning engineer  in office,analysis,jpy,72873,103803,de,ex,ft,in-person,cn,s
2020,data engineer,data science,jpy,77565,100908,de,se,ft,in-person,us,m
2022,data engineer  (remote),ml/ai,us dolars,168878,68918,us,ex,fl,remote,cn,m
2020,statistician  in office,engineering,inr,30757,171992,mx,mi,ft,remote,in,l
2022,machine learning engineer,analysis,gbp,182542,57785,us,ex,pt,hybrid,in,s
2021,data scientist  (remote),ml/ai,jpy,36220,112757,de,mi,ft,hybrid,mx,s
2022,data analyst  in office,analysis,eur,138408,186250,jp,ex,fl,in-person,us,m
2020,machine learning engineer,data science,us dolars,121851,129490,jp,ex,fl,remote,de,l
2020,machine learning engineer,unknown,unknown,123329,101997,cn,unknown,ft,remote,jp,unknown
2021,data engineer  in office,ml/ai,eur,157636,139768,de,en,fl,in-person,de,l
2022,data analyst  (remote),ml/ai,eur,183577,44052,mx,en,fl,in-person,jp,m
2022,statistician  in office,engineering,inr,58288,79383,jp,se,ft,hybrid,uk,s
2021,machine learning engineer,ml/ai,inr,104492,161399,cn,mi,fl,hybrid,in,l
2022,statistician,ml/ai,jpy,49109,118301,cn,se,fl,in-person,us,l
2022,machine learning engineer  (remote),analysis,jpy,164569,100775,de,mi,ft,remote,uk,s
2020,statistician  in office,data science,eur,87326,105614,cn,se,pt,hybrid,de,l
2022,data analyst  (remote),ml/ai,eur,39864,168110,us,se,pt,in-person,jp,m
2022,data engineer  (remote),engineering,jpy,117562,38048,us,ex,fl,remote,cn,l
2021,data analyst,ml/ai,jpy,104310,44954,us,ex,ct,in-person,in,s
2021,data scientist  in office,data science,eur,149454,142010,uk,ex,ct,remote,jp,m
2022,data analyst,analysis,eur,162893,135622,mx,ex,ft,remote,mx,s
2022,data scientist,data science,gbp,80337,174603,us,se,pt,remote,de,s
2022,machine learning engineer  in office,ml/ai,gbp,113557,39530,de,mi,ct,in-person,us,s
2020,machine learning engineer  (remote),analysis,eur,40372,54791,jp,en,ft,remote,uk,s
2020,statistician  (remote),unknown,unknown,130050,135806,mx,unknown,ct,hybrid,in,unknown
2021,data engineer  in office,ml/ai,jpy,123938,162721,jp,mi,ct,in-person,us,l
2022,data engineer  (remote),engineering,eur,46283,120721,us,se,fl,in-person,mx,m
2022,machine learning engineer,analysis,gbp,70857,57134,us,mi,ct,in-person,uk,s
2020,statistician  (remote),engineering,eur,81772,173516,cn,mi,pt,in-person,in,s
2022,data analyst,ml/ai,jpy,125856,159326,de,en,ft,in-person,jp,m
2022,statistician  (remote),analysis,gbp,192333,68217,de,en,ft,in-person,in,l
2020,machine learning engineer,data science,inr,65561,161067,jp,ex,fl,hybrid,cn,l
2022,data scientist  in office,analysis,inr,196340,66189,mx,mi,fl,in-person,cn,s
2022,data scientist,ml/ai,us dolars,192680,148903,mx,ex,pt,remote,mx,m
2022,data engineer  (remote),data science,gbp,43138,196561,uk,en,pt,in-person,uk,m
2021,machine learning engineer  in office,engineering,gbp,198765,57284,jp,mi,fl,in-person,cn,m
2021,data scientist,analysis,us dolars,154143,54698,de,ex,ct,in-person,jp,l
2021,data analyst  in office,analysis,gbp,182320,49637,in,se,fl,remote,cn,m
2020,data scientist  in office,ml/ai,us dolars,48632,90405,uk,se,ct,hybrid,mx,m
2021,data analyst  (remote),data science,eur,77547,91305,us,se,ft,remote,mx,l
2020,data engineer,analysis,jpy,42100,63556,cn,mi,ft,remote,us,s
2021,statistician  in office,data science,us dolars,83025,150644,cn,mi,ct,remote,us,l
2021,data engineer,analysis,us dolars,108944,127012,uk,mi,fl,in-person,mx,m
2021,data analyst  in office,data science,us dolars,180441,33654,mx,mi,pt,hybrid,in,s
2022,data engineer  in office,data science,eur,179532,70428,in,ex,ct,remote,de,s
2021,data scientist,data science,us dolars,121641,159814,uk,ex,ft,hybrid,uk,s
2022,machine learning engineer  in office,ml/ai,jpy,126920,199108,jp,se,fl,in-person,us,l
2020,machine learning engineer,data science,jpy,162533,125379,de,ex,ft,in-person,uk,s
2022,data analyst,data science,inr,72362,95355,us,ex,fl,hybrid,cn,m
2021,data analyst,unknown,unknown,58610,76257,de,unknown,pt,in-person,in,unknown
2020,machine learning engineer  in office,engineering,jpy,134334,143435,de,se,pt,hybrid,uk,l
2020,data engineer  in office,data science,gbp,37717,177059,de,se,ct,in-person,us,m
2022,statistician  in office,engineering,gbp,94022,181882,de,ex,ct,in-person,mx,l
2021,statistician,engineering,us dolars,81645,50311,jp,mi,ft,hybrid,in,s
2020,data engineer  (remote),analysis,us dolars,59550,142695,jp,se,ct,in-person,in,m
2020,statistician,data science,gbp,164648,84478,in,en,ct,remote,jp,m
2020,data scientist  in office,engineering,inr,70868,195992,de,ex,ft,in-person,in,l
2022,data engineer  (remote),ml/ai,inr,128039,38738,uk,en,ft,in-person,de,s
2022,data analyst,analysis,us dolars,166800,103424,mx,en,pt,in-person,de,m
2021,data engineer  in office,analysis,gbp,62800,92232,us,ex,ft,hybrid,us,l
2022,machine learning engineer  in office,data science,inr,40886,138400,cn,en,pt,remote,cn,l
2020,data analyst  (remote),data science,us dolars,75805,35474,us,ex,pt,remote,in,l
2021,machine learning engineer  in office,analysis,gbp,62532,89026,jp,en,fl,in-person,de,l
2020,data analyst  in office,ml/ai,eur,142765,96024,cn,mi,ct,in-person,mx,l
2020,statistician  in office,data science,gbp,58688,80974,jp,se,ft,hybrid,de,m
2022,data engineer  in office,data science,gbp,172135,185216,mx,mi,ct,remote,mx,l
2021,data scientist  (remote),analysis,jpy,53089,35622,mx,mi,fl,in-person,jp,s
2022,data analyst  in office,analysis,jpy,63585,127366,in,en,ft,remote,cn,s
2022,data analyst  in office,data science,eur,32438,69214,de,se,ft,in-person,mx,m
2021,machine learning engineer  in office,engineering,eur,123095,123184,jp,se,fl,in-person,cn,l
2020,machine learning engineer  (remote),engineering,inr,178055,186295,jp,en,pt,remote,jp,m
2021,machine learning engineer,analysis,eur,44026,51865,us,mi,fl,remote,cn,l
2020,statistician  (remote),engineering,gbp,150168,73026,de,ex,fl,in-person,cn,l
2021,data scientist  in office,ml/ai,us dolars,80998,119037,in,ex,ft,in-person,mx,s
2021,machine learning engineer  (remote),analysis,jpy,87013,187938,mx,ex,pt,hybrid,uk,l
2022,machine learning engineer  (remote),data science,inr,81039,173488,jp,se,fl,in-person,jp,m
2021,data analyst  (remote),data science,gbp,195675,55775,jp,ex,ct,remote,cn,s
2022,statistician  in office,analysis,us dolars,136446,190152,jp,mi,fl,hybrid,uk,m
2020,data engineer,analysis,jpy,128452,49374,us,ex,ct,remote,uk,m
2020,data scientist,ml/ai,us dolars,174177,88451,mx,se,ft,hybrid,cn,l
2020,data scientist,unknown,unknown,97182,112141,jp,unknown,fl,remote,mx,unknown
2020,statistician,data science,eur,82147,45684,jp,ex,ct,in-person,in,s
2022,data analyst  (remote),ml/ai,jpy,105400,54002,us,se,ft,remote,uk,m
2020,data analyst,data science,us dolars,76434,121551,jp,ex,ft,remote,uk,m
2021,statistician  (remote),engineering,eur,56515,160704,de,se,ft,hybrid,jp,l
2021,data analyst  (remote),analysis,inr,88001,184044,de,en,fl,remote,in,m
2021,data scientist,engineering,gbp,178032,36309,us,en,ft,in-person,mx,m
2022,data scientist  in office,data science,gbp,139591,114675,de,mi,ft,hybrid,in,m
2020,data engineer,engineering,jpy,75778,98326,cn,en,ct,hybrid,uk,m
2020,statistician,unknown,unknown,192013,37826,cn,unknown,ft,remote,mx,unknown
2020,machine learning engineer  (remote),data science,inr,125849,173206,cn,se,fl,hybrid,jp,s
2022,machine learning engineer  (remote),unknown,unknown,133083,180765,in,unknown,pt,in-person,jp,unknown
2021,data engineer,analysis,jpy,131276,151840,jp,ex,ft,remote,jp,m
2021,data engineer,engineering,us dolars,86908,165126,in,ex,fl,in-person,jp,s
2020,data analyst  in office,ml/ai,inr,179501,177162,de,mi,ft,remote,us,l
2021,data engineer  in office,ml/ai,us dolars,124048,135985,us,mi,fl,remote,mx,l
2021,data engineer  in office,data science,gbp,175919,45569,cn,ex,ft,hybrid,cn,s
2022,data engineer  (remote),data science,gbp,189846,177680,de,se,pt,remote,uk,m
2020,data analyst,analysis,gbp,39127,127475,jp,ex,fl,in-person,mx,s
2022,statistician  in office,analysis,inr,148251,160447,mx,en,pt,hybrid,in,m
2021,data analyst,engineering,gbp,189277,160819,de,ex,ct,in-person,jp,s
2020,machine learning engineer,analysis,inr,111163,140648,cn,se,ct,hybrid,cn,l
2021,statistician  (remote),data science,us dolars,148279,54520,de,ex,ft,remote,mx,m
2021,data scientist  in office,data science,jpy,131824,60932,us,se,ct,hybrid,in,l
2021,data analyst,data science,inr,68664,49734,uk,en,pt,in-person,de,m
2022,machine learning engineer  (remote),data science,gbp,86795,99363,cn,mi,pt,in-person,mx,m
2022,statistician,engineering,jpy,151729,80555,mx,en,ct,hybrid,uk,m
2020,data engineer  (remote),ml/ai,inr,66079,193266,cn,mi,pt,remote,us,l
2022,data analyst  in office,analysis,inr,114225,177865,cn,mi,pt,hybrid,us,s
2021,data scientist,data science,eur,54259,195756,jp,ex,pt,in-person,de,s
2020,data analyst  (remote),ml/ai,eur,56571,123550,mx,en,pt,hybrid,us,l
2022,statistician,engineering,jpy,81119,83219,cn,se,pt,hybrid,cn,l
2022,statistician,data science,eur,38009,163931,us,se,ct,hybrid,jp,s
2022,data analyst  in office,data science,gbp,140210,69840,de,mi,ct,hybrid,jp,s
2022,data engineer,engineering,jpy,68230,89327,de,se,ft,remote,uk,l
2022,data analyst  in office,ml/ai,us dolars,141364,143827,uk,ex,fl,hybrid,jp,s
2022,data engineer  in office,engineering,eur,86049,64819,cn,mi,ft,remote,us,l
2022,data engineer  (remote),unknown,unknown,131762,115621,uk,unknown,ct,hybrid,de,unknown
2020,machine learning engineer,analysis,jpy,153273,131272,in,mi,ft,in-person,cn,l
2020,data analyst  (remote),unknown,unknown,149466,71704,mx,unknown,ft,hybrid,jp,unknown
2022,statistician  (remote),analysis,gbp,197570,90379,de,se,ct,hybrid,uk,m
2021,data engineer,analysis,jpy,149053,185390,us,en,pt,in-person,uk,m
2020,machine learning engineer  (remote),engineering,jpy,189892,110987,us,ex,ct,remote,cn,l
2022,data analyst  (remote),ml/ai,inr,125018,141561,cn,mi,ct,remote,us,l
2020,data analyst  (remote),engineering,jpy,62795,35274,us,en,fl,remote,jp,m
2020,data scientist  in office,data science,inr,143812,179298,in,en,fl,remote,us,l
2021,data scientist,ml/ai,eur,115411,126462,jp,en,fl,in-person,uk,l
2022,data engineer  (remote),analysis,gbp,69191,49046,us,en,pt,remote,de,m
2022,data scientist  in office,analysis,gbp,42453,104210,cn,en,ft,remote,jp,s
2021,data engineer  in office,data science,jpy,150848,148724,uk,mi,fl,remote,mx,l
2021,statistician  (remote),ml/ai,jpy,144165,182982,mx,se,ct,remote,de,l
2022,data engineer,data science,eur,79993,172575,us,en,fl,remote,cn,s
2022,data scientist  in office,data science,inr,140780,78392,us,se,ct,hybrid,jp,s
2021,statistician  (remote),engineering,gbp,75706,91472,us,se,pt,hybrid,uk,l
2020,data scientist,data science,inr,121434,100904,cn,ex,fl,remote,jp,l
2020,data engineer,ml/ai,eur,80799,119063,mx,mi,ct,in-person,uk,s
2021,machine learning engineer  (remote),data science,gbp,149586,75335,jp,en,ft,in-person,in,l
2020,data analyst  in office,ml/ai,gbp,90964,52487,us,se,pt,hybrid,uk,s
2021,data scientist,analysis,us dolars,127379,66593,jp,ex,ct,in-person,uk,s
2020,data engineer,data science,eur,139987,105927,jp,se,ft,hybrid,cn,l
2020,statistician,ml/ai,eur,91926,39874,mx,en,ft,remote,jp,l
2022,data scientist,analysis,us dolars,33801,84822,mx,mi,ct,remote,de,s
2022,data scientist  in office,ml/ai,inr,70144,83948,in,mi,fl,in-person,uk,l
2020,data analyst  in office,analysis,us dolars,124478,33608,uk,en,ft,in-person,jp,s
2022,machine learning engineer  (remote),data science,inr,142364,135182,us,ex,ft,remote,us,m
2022,statistician  in office,data science,gbp,112819,57546,us,mi,fl,remote,us,s
2022,data engineer  (remote),analysis,us dolars,180933,145999,jp,mi,pt,in-person,us,s
2021,statistician,engineering,inr,183552,130804,mx,se,pt,in-person,us,l
2020,data scientist  in office,ml/ai,inr,48637,92496,de,se,pt,in-person,de,s
2022,data analyst,engineering,inr,74621,85186,uk,se,ct,in-person,cn,s
2020,data analyst  in office,ml/ai,us dolars,77431,166302,cn,ex,ft,hybrid,uk,l
2021,machine learning engineer  in office,unknown,unknown,129937,55720,us,unknown,fl,in-person,us,unknown
2021,data analyst  (remote),data science,inr,86172,73023,de,ex,ct,in-person,jp,m
2022,data scientist  in office,analysis,us dolars,55437,198674,de,en,ct,hybrid,us,s
2021,machine learning engineer  (remote),unknown,unknown,169221,97082,mx,unknown,pt,hybrid,in,unknown
2020,data engineer  in office,data science,us dolars,175743,45050,de,se,ct,hybrid,in,m
2022,data analyst,data science,us dolars,53119,143353,uk,ex,ft,hybrid,cn,s
2020,machine learning engineer,ml/ai,us dolars,177351,82164,de,ex,ct,in-person,de,l
2020,data scientist,data science,inr,98835,158470,cn,ex,ct,remote,mx,s
2021,statistician,ml/ai,us dolars,165875,60134,us,mi,pt,remote,in,l
2021,data scientist  in office,ml/ai,eur,58634,90526,in,se,pt,remote,in,l
2021,statistician  (remote),engineering,jpy,175832,164495,jp,en,fl,remote,in,l
2022,machine learning engineer  in office,data science,us dolars,171898,58577,de,ex,fl,hybrid,de,m
2020,statistician,data science,inr,116821,151867,cn,ex,fl,hybrid,in,l
2020,data scientist,data science,inr,75775,148247,jp,en,ct,remote,us,m
2020,data analyst  in office,data science,us dolars,156546,88900,jp,se,ft,in-person,cn,s
2020,data engineer  (remote),engineering,gbp,144090,114606,jp,en,ft,in-person,mx,m
2021,data analyst  (remote),engineering,gbp,104676,36066,jp,en,pt,remote,cn,s
2020,data analyst  (remote),engineering,eur,36798,134342,jp,en,ft,in-person,cn,l
2022,data scientist  (remote),engineering,us dolars,107160,38583,us,en,ft,hybrid,mx,l
2022,statistician,data science,us dolars,107751,68057,uk,se,ct,hybrid,uk,m
2020,machine learning engineer,ml/ai,jpy,70888,183676,de,ex,pt,in-person,us,s
2020,data analyst  (remote),analysis,gbp,79047,56564,de,en,ft,remote,in,m
2022,statistician  in office,engineering,gbp,139640,91429,us,en,fl,hybrid,in,l
2022,machine learning engineer  in office,ml/ai,us dolars,132614,128600,cn,mi,pt,in-person,mx,l
2021,data analyst,engineering,eur,75955,118393,us,se,pt,in-person,in,s
2022,machine learning engineer  in office,data science,us dolars,163054,145774,mx,en,pt,hybrid,de,s
2021,statistician,unknown,unknown,194936,58941,jp,unknown,fl,hybrid,jp,unknown
2021,data engineer,ml/ai,gbp,151298,67962,uk,en,ft,remote,us,l
2021,statistician  (remote),ml/ai,jpy,115490,199645,de,se,fl,in-person,cn,s
2021,data scientist  (remote),ml/ai,inr,69265,151410,cn,mi,pt,remote,in,m
2021,machine learning engineer  (remote),data science,gbp,76313,186764,in,mi,pt,hybrid,mx,m
2020,data engineer  (remote),data science,eur,74350,88420,us,se,ct,in-person,uk,s
2022,machine learning engineer  (remote),analysis,us dolars,176450,112415,in,mi,ct,hybrid,de,s
2021,machine learning engineer  (remote),ml/ai,gbp,139168,196835,de,mi,ct,hybrid,jp,s
2022,data analyst  in office,analysis,jpy,57924,112013,us,en,ct,hybrid,in,l
2022,data scientist  (remote),engineering,eur,112593,149012,de,mi,pt,remote,cn,m
2021,machine learning engineer  (remote),analysis,us dolars,147490,167465,us,ex,fl,hybrid,us,s
2020,statistician,engineering,inr,37312,150198,cn,se,ct,remote,uk,m
2021,statistician,engineering,eur,60353,63488,de,en,fl,hybrid,cn,l
2020,data analyst  (remote),analysis,us dolars,143744,182531,mx,mi,ct,hybrid,de,l
2022,data scientist,ml/ai,inr,46192,173626,in,ex,ft,in-person,us,s
2020,data scientist  in office,engineering,us dolars,178522,198939,uk,en,ct,hybrid,mx,s
2020,statistician  in office,ml/ai,inr,166504,132330,cn,se,fl,in-person,us,s
2020,data engineer  in office,data science,inr,126548,35057,mx,mi,ct,in-person,de,s
2022,data analyst  (remote),data science,us dolars,108711,35305,us,se,fl,in-person,us,s
2020,statistician  in office,analysis,inr,171367,91276,in,mi,fl,in-person,mx,m
2020,statistician  in office,ml/ai,eur,36774,193812,de,mi,fl,hybrid,mx,l
2021,data engineer  in office,analysis,jpy,145107,185190,in,en,pt,hybrid,uk,l
2020,data engineer  in office,engineering,jpy,173262,167746,cn,se,fl,remote,uk,m
2021,data scientist,data science,inr,192358,120534,us,mi,pt,in-person,mx,m
2020,data analyst  in office,engineering,jpy,102427,176388,in,se,ft,in-person,us,s
2021,data analyst  in office,analysis,jpy,117513,177289,mx,mi,fl,remote,in,s
2022,statistician,ml/ai,inr,94014,141045,de,se,fl,hybrid,us,s
2020,data scientist,ml/ai,inr,85256,175674,jp,en,fl,in-person,in,l
2020,data analyst  (remote),engineering,eur,128743,117181,cn,se,ft,remote,us,m
2020,data scientist,engineering,gbp,121190,140907,uk,mi,pt,hybrid,cn,m
2020,data scientist,data science,us dolars,81715,43987,uk,ex,ct,remote,jp,m
2021,statistician,analysis,inr,37466,79915,cn,en,ft,remote,uk,m
2020,data scientist  in office,engineering,inr,47637,43543,jp,en,ft,in-person,us,s
2022,data engineer  (remote),data science,jpy,160424,57944,us,ex,ft,hybrid,uk,s
2022,data engineer  (remote),unknown,unknown,98745,170216,in,unknown,pt,in-person,de,unknown
2020,machine learning engineer  in office,ml/ai,jpy,66317,139418,in,en,pt,in-person,jp,s
2022,statistician  (remote),data science,inr,164150,68459,jp,ex,pt,hybrid,in,l
2020,machine learning engineer  in office,data science,inr,188371,60741,mx,ex,pt,hybrid,de,s
2020,data engineer,unknown,unknown,33543,156077,jp,unknown,pt,hybrid,jp,unknown
2022,machine learning engineer  in office,analysis,inr,152790,104627,de,se,fl,in-person,de,l
2020,statistician  in office,ml/ai,gbp,81052,143372,de,mi,ct,hybrid,uk,m
2022,statistician,analysis,us dolars,52064,99741,uk,ex,ct,hybrid,cn,m
2021,data scientist,data science,us dolars,102287,99177,us,se,pt,hybrid,jp,s
